Facility Type,Facility Number,Facility Name,Licensee,Facility Administrator,Facility Telephone Number,Facility Address,Facility City,Facility State,Facility Zip,County Name,Regional Office,Facility Capacity,Facility Status,License First Date,Closed Date,Price per week
AFFORDABLE CHILD CARE,,Yolo Crisis Nursery,,,(530) 758-6680,"1107 Kennedy Place, Suite 5",DAVIS,CA,95616,YOLO,,,,,,
AFFORDABLE CHILD CARE,,YOLO COUNTY CHILDREN’S ALLIANCE,,,(916) 572-0560,637 Toddhunter Street Room 21B,Broderick,CA,95605,YOLO,,,,,,
AFFORDABLE CHILD CARE,,YOLO COUNTY CHILDREN’S ALLIANCE,,,(916) 572-0560,36230 North School Street,Clarksburg,CA,95612,YOLO,,,,,,
AFFORDABLE CHILD CARE,,Children's Home Society of California,,,(530) 723-5225,"1100 Main Street, Suite 120",Woodland,CA,95695,YOLO,,,,,,
AFFORDABLE CHILD CARE,,CalWORKs Child Care Subsidy Payment Program,,,(530) 661-2750,,Woodland,CA,,YOLO,,,,,,
AFFORDABLE CHILD CARE,,CalWORKs Child Care Subsidy Payment Program,,,(916) 375-6200,,WEST SACRAMENTO,CA,,YOLO,,,,,,
AFFORDABLE CHILD CARE,,West Sacramento Preschool,,,(916) 371-4644,2475 Higgins Rd,WEST SACRAMENTO,CA,95691,YOLO,,,,,,100
AFFORDABLE CHILD CARE,,Caring Connection Children’s Center,,,(916) 371-3301,703 Westacre Rd.,WEST SACRAMENTO,CA,95691,YOLO,,,,,,170
AFFORDABLE CHILD CARE,,Common Grounds Preschool and Daycare,,,(916) 299-3028,2324 L Street,SACRAMENTO,CA,95816,YOLO,,,,,,198
DAY CARE CENTER,197416900,107TH. STREET ELEMENTARY SCHOOL CSPP/HEAD START,LAUSD EARLY CHILDHOOD EDUCATON,"RIOS, REUBEN M.",(323) 756-8137,146 EAST 107TH. STREET ROOM K4,LOS ANGELES,CA,90003,LOS ANGELES,54,22,LICENSED,6/11/2010,,
DAY CARE CENTER,191607790,10TH STREET PRESCHOOL,"WASSON, CINDY LEE","WASSON, CINDY",(310) 458-4088,1444 10TH STREET,SANTA MONICA,CA,90401,LOS ANGELES,30,43,LICENSED,7/13/1992,,
DAY CARE CENTER,197416698,186TH STREET ELEMENTARY SCHOOL CSPP,LAUSD/EARLY CHILDHOOD EDUCATION,"REED, MARCIA S.",(310) 324-1153,1581 WEST 186TH STREET ROOM 9,GARDENA,CA,90248,LOS ANGELES,30,23,LICENSED,2/1/2010,,
DAY CARE CENTER,304370894,"1ST CHOICE CREATIVEDU, INC.","1ST CHOICE CREATIVEDU, INC.","KONG, MICHELLE",(714) 853-3372,5832 FULLERTON AVENUE,BUENA PARK,CA,90621,ORANGE,6,86,CLOSED,,7/3/2015,
DAY CARE CENTER,197493820,1ST CLASS PREPARATORY PRESCHOOL,1ST CLASS PREPARATORY,MARRISCHIA DAVIS,(310) 925-6394,3459 MC MANUS,CULVER CITY,CA,90232,LOS ANGELES,30,30,LICENSED,5/3/2019,,
DAY CARE CENTER,384001195,1ST PLACE 2 START,1ST PLACE 2 START,SANDRA DAVIS,(415) 333-2659,1252 SUNNYDALE AVE,SAN FRANCISCO,CA,94134,SAN FRANCISCO,5,27,LICENSED,9/23/2003,,
DAY CARE CENTER,198016140,1.2.3. CHRISTIAN MISSION,JIN KYUNG LEE,JIN KYUNG LEE,(213) 733-1123,811 S. MANHATTAN PL.,LOS ANGELES,CA,90005,LOS ANGELES,33,45,LICENSED,12/28/2010,,
DAY CARE CENTER,197419152,24TH STREET EARLY ED. CENTER,LAUSD EARLY CHILDHOOD EDUCATION,"REYES, JORGE",(323) 733-2164,2101 WEST 24TH STREET,LOS ANGELES,CA,90018,LOS ANGELES,54,92,LICENSED,12/9/2013,,
DAY CARE CENTER,414004456,2ND GENERATION CABOT (PS),BRIGHT HORIZONS CHILDREN'S CENTERS LLC,"ALCANTARA, RACHYL",(650) 225-3666,342 ALLERTON AVE,SOUTH SAN FRANCISCO,CA,94080,SAN MATEO,5,264,LICENSED,4/25/2018,,
DAY CARE CENTER,191222366,31ST DIST PTSA CREATIVE KIDS- CHATSWORK PARK ELEM,31ST DIST CA CONGRESS OF PARENTS & TEACHERS,LARA NALBANDIAN,(818) 481-4583,22005 DEVONSHIRE ST.,CHATSWORTH,CA,91311,LOS ANGELES,30,72,LICENSED,4/3/1989,,
